Users,Double_Cont, Double_B1,Double_B2,Double_B3,Single_Cont,Single_B1,Single_B2,Single_B3
5.000000000000000000e+00,9.080788804117647217e+00,2.269991914315939496e+01,2.072472380480780885e+01,1.549918276213860935e+01,1.248194054408367037e+01,2.135781612829937615e+01,2.057846095224446969e+01,1.753186914789630890e+01
1.000000000000000000e+01,1.703506851787591714e+01,4.228511108653280814e+01,3.846245837411331081e+01,2.869145978811005193e+01,2.318783161919121838e+01,3.884497261924510525e+01,3.766241394786541719e+01,3.192506729638000706e+01
2.000000000000000000e+01,3.008348887355038315e+01,7.296998947902419275e+01,6.694964903740692819e+01,5.012824188719342544e+01,3.984951351249048912e+01,6.488150264366188935e+01,6.355809947558137196e+01,5.404727019915303288e+01
2.500000000000000000e+01,3.642712424727798748e+01,8.778755535022264667e+01,8.058926465096027414e+01,6.029713337073676627e+01,4.846599385055216658e+01,7.861649793950753917e+01,7.692405960128112952e+01,6.527121490052185493e+01
5.000000000000000000e+01,6.451665591376243469e+01,1.480372640222449832e+02,1.387359566511559308e+02,1.044516844726963427e+02,8.313316212388383519e+01,1.269050022205009753e+02,1.275511350428026560e+02,1.088618526610931667e+02
1.000000000000000000e+02,1.086529794328865677e+02,2.328326902267782259e+02,2.219522835431559997e+02,1.690795363970012772e+02,1.322637201732460142e+02,1.851692858065301834e+02,1.905063545993442347e+02,1.636477589446548677e+02
