3.588467157116200124e+00,4.831835614316435823e+00,6.089618356165092727e+00,7.067761091329342271e+00,5.855279055883200634e+00,1.704166293084554695e+00
4.311478845688151651e+00,5.551864706910192737e+00,6.775336168822510885e+00,7.698438588860462062e+00,6.328548937901350868e+00,1.847602354128406787e+00
4.989250563506782754e+00,6.188930858707598404e+00,7.362575664823935995e+00,8.227500307163159832e+00,6.746950481070652650e+00,1.990013124166642333e+00
5.239288336569171811e+00,6.381178864457321964e+00,7.496896101869293005e+00,8.316157021448729481e+00,6.862340727756395253e+00,2.065065431020411513e+00
5.593857570874481766e+00,6.671757111834213383e+00,7.723624852527020579e+00,8.490381112333208691e+00,7.049713039054949171e+00,2.170663394932671242e+00
5.434611645801089352e+00,6.445158919411865917e+00,7.432141094160256145e+00,8.162240030711080507e+00,6.868441972229103243e+00,2.182182272463970563e+00
5.349102365126492842e+00,6.291456181204791775e+00,7.212594877083750688e+00,7.901928931775366927e+00,6.733935306069447790e+00,2.211542478643302001e+00
5.096792357725152378e+00,5.972466767264120513e+00,6.829376532374645592e+00,7.482356352003018962e+00,6.470441400641313123e+00,2.204708770759753911e+00
5.056409955743803586e+00,5.867735585381288921e+00,6.662124300766091523e+00,7.272989639423854236e+00,6.362184010002895462e+00,2.247142967570383565e+00
4.823430634719545473e+00,5.573850641526167493e+00,6.309452464381342551e+00,6.884405493758479544e+00,6.104079227978604472e+00,2.241431412853515770e+00
4.538764517752449379e+00,5.232210365876492020e+00,5.912818118284101310e+00,6.454253343603327586e+00,5.801201044452762190e+00,2.217000290393810413e+00
4.306871277623580241e+00,4.947433447214288904e+00,5.576817749045475558e+00,6.085017040825123402e+00,5.536760037140474822e+00,2.201001333038492103e+00
4.054117915688417284e+00,4.645944258582950681e+00,5.228093492124028963e+00,5.705271380099095069e+00,5.253493189829811172e+00,2.172418766049978078e+00
3.837821028895858522e+00,4.384936858320477526e+00,4.923630467675406130e+00,5.370982667888467788e+00,4.998961579723719240e+00,2.148256562328398900e+00
3.663389694165634314e+00,4.169618159834895366e+00,4.668462355415934795e+00,5.087277156732049832e+00,4.779530611494314130e+00,2.131730011300779104e+00
3.390712333905801845e+00,3.859654253220208275e+00,4.322263376849356575e+00,4.716134743588852096e+00,4.477835075614950533e+00,2.074006747222336244e+00
