NU_Usersee,NU_Double_Contee,NU_Double_B1ee,NU_Double_B2ee,NU_Double_B3ee,NU_Single_Contee,NU_Single_B1ee,NU_Single_B2ee,NU_Single_B3ee
5.000000000000000000e+00,1.411934092430054341e-02,7.622887998829765144e-02,5.535446732519963553e-02,3.059736561704352528e-02,2.373922875178666181e-02,7.801779050206533728e-02,6.625653625611328812e-02,4.372054054541465312e-02
1.000000000000000000e+01,2.375277205414535325e-02,1.235705326987737440e-01,9.003559954769949081e-02,4.999581029810882399e-02,3.747339999345263017e-02,1.174233050446934351e-01,9.917374356044197925e-02,6.694480119912418759e-02
2.000000000000000000e+01,4.274164039435823098e-02,2.149411190390269066e-01,1.583975517829182833e-01,8.857280523612105771e-02,6.931640304301783795e-02,2.086989800636981640e-01,1.759212163432667952e-01,1.200558320370433418e-01
2.500000000000000000e+01,4.987107655689192870e-02,2.449835541852853349e-01,1.825541304257815578e-01,1.028398201432032671e-01,7.873934054067711907e-02,2.287632083174227227e-01,1.976676730040318464e-01,1.347906008590583349e-01
5.000000000000000000e+01,8.155957873435712435e-02,3.710672505619062034e-01,2.818614954378890758e-01,1.610321346785657248e-01,1.237115850879374063e-01,3.185317138570536999e-01,2.845931495912295550e-01,1.991448893254456065e-01
1.000000000000000000e+02,1.612896105070560082e-01,6.836824555715682594e-01,5.361412373685958688e-01,3.083116805080227119e-01,2.374973693554819631e-01,5.713305873076098829e-01,5.227572835109831617e-01,3.661814556374201612e-01
2.000000000000000000e+02,2.666766022709642914e-01,9.684667760484744203e-01,8.021809127721475363e-01,4.737191409182749391e-01,3.766260349705747301e-01,7.446190384235442661e-01,7.366108456303589458e-01,5.261219531142247163e-01
4.000000000000000000e+02,4.331622630080266823e-01,1.252547789924676636e+00,1.133437013745697941e+00,6.942938137283002353e-01,5.696104911703138152e-01,8.901007346455581670e-01,9.516131389680023700e-01,6.993745930671114719e-01
