NU_Users,NU_Double_Cont,NU_Double_B1,NU_Double_B2,NU_Double_B3,NU_Single_Cont,NU_Single_B1,NU_Single_B2,NU_Single_B3
5.000000000000000000e+00,1.183816276219275265e-02,6.043774994400182010e-02,4.565158754740689107e-02,2.525933759944578444e-02,1.848448369596019519e-02,5.825353829971371272e-02,4.725821663575418413e-02,3.206807117175516225e-02
1.000000000000000000e+01,2.442653154922146477e-02,1.322437964118377274e-01,9.521075641192813799e-02,5.215207065301794009e-02,3.847569479013334542e-02,1.236329668035438811e-01,1.021273612257422581e-01,6.906620089210097069e-02
2.000000000000000000e+01,4.199870589883792499e-02,2.080566180633014739e-01,1.536716752507625572e-01,8.636611155486216551e-02,6.572442277846198000e-02,1.924767705851372912e-01,1.672688053789080642e-01,1.135822346545712069e-01
2.500000000000000000e+01,5.069378511981637025e-02,2.477920995535423943e-01,1.851740157726777525e-01,1.039282159428277785e-01,7.580679971281656382e-02,2.157783563283063311e-01,1.864625934934762974e-01,1.285518409584346655e-01
5.000000000000000000e+01,8.667185640231611643e-02,3.975926087549517263e-01,3.018521668298914107e-01,1.703486840062038155e-01,1.298223131527005691e-01,3.437528336925516625e-01,3.044745941952101131e-01,2.092346061561690951e-01
1.000000000000000000e+02,1.479774595771198298e-01,6.119100891386384244e-01,4.769230969678352472e-01,2.768107927179692673e-01,2.170753955605927155e-01,4.949416342206827690e-01,4.610618304846402782e-01,3.254494393971582022e-01
2.000000000000000000e+02,2.731234393478381706e-01,9.999447709874849100e-01,8.307859607863232743e-01,4.913934458817870166e-01,3.923600038067043272e-01,7.855579659458655772e-01,7.765743205542525729e-01,5.561375863715564138e-01
4.000000000000000000e+02,4.301192235296567579e-01,1.221443052856558964e+00,1.113931720327656416e+00,6.846524887509569668e-01,5.681881218715965076e-01,8.662623793512209680e-01,9.354808908409104617e-01,6.886081344935416348e-01
