NU_Userssr,NU_Double_Contsr,NU_Double_B1sr,NU_Double_B2sr,NU_Double_B3sr,NU_Single_Contsr,NU_Single_B1sr,NU_Single_B2sr,NU_Single_B3sr
5.000000000000000000e+00,1.299685332081865097e+00,1.111403511256306986e+00,1.109857069870252788e+00,1.142757181691621104e+00,1.235626856530495754e+00,1.038799941950038663e+00,1.063417406910618368e+00,1.079858468201248867e+00
1.000000000000000000e+01,2.187630306186786555e+00,1.807814913661913270e+00,1.809715550908760795e+00,1.869754376668922413e+00,1.952364139658882669e+00,1.569352028771179075e+00,1.596697271323116007e+00,1.656824291695017104e+00
2.000000000000000000e+01,3.940779244359830624e+00,3.166044451467095122e+00,3.199630546014950117e+00,3.321322650253720976e+00,3.618316238845533217e+00,2.810113205719259710e+00,2.849923704760922938e+00,2.983280653346606748e+00
2.500000000000000000e+01,4.600606812373283283e+00,3.620813355176768056e+00,3.696721141122077281e+00,3.861452323270926801e+00,4.114130543250380079e+00,3.091714415140680572e+00,3.212099686315517566e+00,3.356166084112556902e+00
5.000000000000000000e+01,7.544261032928033295e+00,5.577074773521442985e+00,5.778160656476726054e+00,6.086728259988104739e+00,6.494858217116712851e+00,4.384560712327292720e+00,4.695786968255287519e+00,5.008316855170313886e+00
1.000000000000000000e+02,1.499993377715621889e+01,1.061746692715281348e+01,1.125896598474051125e+01,1.180778896372022047e+01,1.258736057584054180e+01,8.149980016124422022e+00,8.886873819686714526e+00,9.392228670207071417e+00
2.000000000000000000e+02,2.506760061347064550e+01,1.600858354508934767e+01,1.764798008098725290e+01,1.861631962501598636e+01,2.033780588841103665e+01,1.136654339814674763e+01,1.325899522134647235e+01,1.402068213902822436e+01
4.000000000000000000e+02,4.158357724877057393e+01,2.320948775429248911e+01,2.720248832989675236e+01,2.867309955362168594e+01,3.189818750553756743e+01,1.536751002171657809e+01,1.903226277936004607e+01,2.003646009605568779e+01
